,Ticker,Entry,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,TTM,,,
,,Fixed Assets +,14692.00,17135.00,19658.00,24988.00,24721.00,27580.00,29109.00,25358.00,33684.00,45539.00,49315.00,60175.00,67890.00,,,
,,CWIP,6173.00,7822.00,8209.00,4534.00,7463.00,9372.00,15787.00,17459.00,16834.00,9875.00,13654.00,17757.00,11234.00,,,
,,Investments,16400.00,11932.00,9089.00,7891.00,7470.00,6985.00,7712.00,9401.00,21327.00,23725.00,24907.00,27029.00,27527.00,,,
,,Other Assets +,16809.00,24890.00,29835.00,40401.00,39974.00,44523.00,33714.00,34203.00,37241.00,41217.00,49050.00,45900.00,45418.00,,,
,,Total Assets,54073.00,61779.00,66791.00,77814.00,79628.00,88460.00,86322.00,86422.00,109086.00,120356.00,136926.00,150860.00,152068.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,6964.00,6621.00,239.00,-3849.00,-6922.00,-9807.00,-10731.00,-9795.00,-10922.00,-19580.00,-27076.00,-23369.00,,,,
,,Cash from Investing Activity +,-7052.00,-6843.00,-3011.00,-887.00,2953.00,3764.00,3709.00,-886.00,151.00,-922.00,-6903.00,-9948.00,,,,
,,Cash from Financing Activity +,-15.00,2.00,3289.00,3803.00,4592.00,6521.00,6839.00,11602.00,12513.00,19590.00,34535.00,34479.00,,,,
,,Net Cash Flow,-103.00,-221.00,518.00,-933.00,623.00,478.00,-183.00,921.00,1742.00,-911.00,555.00,1162.00,,,,
,,,,,,,,,,,,,,,,,,
8,BHARTIARTL,,,,,,,,,,,,,,,,,
,pnl,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Sales +,37352.00,41829.00,59602.00,71506.00,76947.00,85864.00,96101.00,96532.00,95468.00,82639.00,80780.00,87539.00,95394.00,,,
,,Expenses +,22379.00,25360.00,39438.00,47801.00,53689.00,58928.00,63352.00,64327.00,61318.00,53012.00,56007.00,51402.00,53975.00,,,
,,Operating Profit,14973.00,16469.00,20164.00,23705.00,23258.00,26936.00,32749.00,32205.00,34150.00,29626.00,24773.00,36137.00,41419.00,,,
,,OPM %,0.40,0.39,0.34,0.33,0.30,0.31,0.34,0.33,0.36,0.36,0.31,0.41,0.43,,,
,,Other Income,597.00,1271.00,255.00,264.00,861.00,2457.00,2096.00,6637.00,2893.00,2209.00,5465.00,-37302.00,-17813.00,,,
,,Interest,2306.00,645.00,2535.00,4083.00,4519.00,5879.00,4446.00,8546.00,9547.00,9326.00,10622.00,13992.00,14331.00,,,
,,Depreciation,4673.00,6199.00,10207.00,13368.00,14815.00,15650.00,19858.00,17450.00,19773.00,19243.00,21348.00,27690.00,28644.00,,,
,,Profit before tax,8591.00,10895.00,7678.00,6518.00,4785.00,7864.00,10540.00,12846.00,7723.00,3267.00,-1732.00,-42846.00,-19369.00,,,
,,Tax %,0.06,0.14,0.23,0.35,0.53,0.62,0.52,0.46,0.45,0.33,1.97,0.28,,,,
,,Net Profit,7859.00,9163.00,5752.00,4257.00,2258.00,2773.00,4621.00,6077.00,3800.00,1099.00,410.00,-32183.00,-22969.00,,,
,,EPS in Rs,16.13,18.80,11.80,8.73,4.63,5.40,9.01,11.84,7.41,2.14,0.80,-58.99,-42.23,,,
,,Dividend Payout %,0.05,0.04,0.07,0.09,0.17,0.26,0.33,0.09,0.11,1.94,2.44,-0.03,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,1898.00,1899.00,1899.00,1899.00,1899.00,1999.00,1999.00,1999.00,1999.00,1999.00,1999.00,2728.00,2728.00,,,
,,Reserves,27229.00,37980.00,46868.00,48712.00,48423.00,57757.00,37778.00,64823.00,65494.00,67600.00,69424.00,74417.00,56612.00,,,
,,Borrowings,13517.00,10288.00,58749.00,69023.00,66736.00,75896.00,83415.00,100646.00,107288.00,111334.00,125428.00,148228.00,159667.00,,,
,,Other Liabilities +,19797.00,19743.00,37742.00,36265.00,40912.00,45840.00,58747.00,57004.00,57542.00,68589.00,77176.00,133718.00,121313.00,,,
,,Total Liabilities,62441.00,69910.00,145258.00,155900.00,157970.00,181492.00,181939.00,224472.00,232322.00,249521.00,274026.00,359091.00,340319.00,,,
,,Fixed Assets +,43949.00,50849.00,124051.00,129168.00,125674.00,140614.00,124279.00,172293.00,178235.00,187200.00,200832.00,229256.00,226085.00,,,
,,CWIP,4144.00,2436.00,4823.00,4414.00,2992.00,0.00,17415.00,5702.00,10838.00,9751.00,9634.00,4282.00,4955.00,,,
,,Investments,2349.00,5162.00,622.00,1836.00,7710.00,15531.00,10752.00,11977.00,14339.00,16159.00,15711.00,25476.00,20793.00,,,
,,Other Assets +,12000.00,11463.00,15761.00,20482.00,21594.00,25347.00,29494.00,34500.00,28910.00,36411.00,47850.00,100077.00,88486.00,,,
,,Total Assets,62441.00,69910.00,145258.00,155900.00,157970.00,181492.00,181939.00,224472.00,232322.00,249521.00,274026.00,359091.00,340319.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,6964.00,6621.00,239.00,-3849.00,-6922.00,-9807.00,-10731.00,-9795.00,-10922.00,-19580.00,-27076.00,-23369.00,,,,
,,Cash from Investing Activity +,-7052.00,-6843.00,-3011.00,-887.00,2953.00,3764.00,3709.00,-886.00,151.00,-922.00,-6903.00,-9948.00,,,,
,,Cash from Financing Activity +,-15.00,2.00,3289.00,3803.00,4592.00,6521.00,6839.00,11602.00,12513.00,19590.00,34535.00,34479.00,,,,
,,Net Cash Flow,-103.00,-221.00,518.00,-933.00,623.00,478.00,-183.00,921.00,1742.00,-911.00,555.00,1162.00,,,,
,,,,,,,,,,,,,,,,,,
9,BRITANNIA,,,,,,,,,,,,,,,,,
,pnl,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Sales +,3421.00,3773.00,4609.00,5485.00,6185.00,6913.00,7858.00,8397.00,9054.00,9914.00,11055.00,11600.00,12690.00,,,
,,Expenses +,3209.00,3616.00,4373.00,5174.00,5765.00,6286.00,7008.00,7174.00,7776.00,8413.00,9322.00,9756.00,10342.00,,,
,,Operating Profit,212.00,156.00,237.00,311.00,421.00,627.00,850.00,1224.00,1278.00,1501.00,1732.00,1843.00,2349.00,,,
,,OPM %,0.06,0.04,0.05,0.06,0.07,0.09,0.11,0.15,0.14,0.15,0.16,0.16,0.19,,,
,,Other Income,83.00,34.00,59.00,59.00,52.00,34.00,248.00,115.00,151.00,166.00,206.00,263.00,311.00,,,
,,Interest,33.00,23.00,44.00,42.00,41.00,8.00,4.00,5.00,5.00,8.00,9.00,77.00,106.00,,,
,,Depreciation,66.00,58.00,65.00,62.00,73.00,83.00,144.00,113.00,119.00,142.00,162.00,185.00,192.00,,,
,,Profit before tax,196.00,109.00,187.00,267.00,358.00,569.00,950.00,1220.00,1304.00,1518.00,1768.00,1844.00,2362.00,,,
,,Tax %,0.27,0.05,0.28,0.25,0.27,0.30,0.28,0.32,0.32,0.34,0.35,0.24,,,,
,,Net Profit,151.00,103.00,134.00,200.00,260.00,395.00,689.00,825.00,884.00,1004.00,1159.00,1403.00,1791.00,,,
,,EPS in Rs,3.17,2.16,5.62,8.35,10.85,16.48,28.71,34.36,36.85,41.83,48.23,58.33,74.46,,,
,,Dividend Payout %,0.63,0.58,0.58,0.51,0.39,0.36,0.28,0.29,0.30,0.30,0.31,0.60,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,,,
,,Reserves,697.00,259.00,302.00,385.00,532.00,774.00,1221.00,2068.00,2672.00,3382.00,4229.00,4379.00,2650.00,,,
,,Borrowings,275.00,657.00,618.00,604.00,380.00,150.00,145.00,131.00,125.00,201.00,156.00,1538.00,2452.00,,,
,,Other Liabilities +,496.00,574.00,675.00,829.00,948.00,1159.00,1403.00,1271.00,1288.00,1581.00,1829.00,1889.00,2341.00,,,
,,Total Liabilities,1492.00,1513.00,1619.00,1842.00,1883.00,2107.00,2793.00,3494.00,4109.00,5188.00,6238.00,7830.00,7467.00,,,
,,Fixed Assets +,471.00,499.00,505.00,624.00,737.00,848.00,844.00,950.00,1160.00,1346.00,1688.00,1878.00,1811.00,,,
,,CWIP,6.00,10.00,13.00,111.00,147.00,107.00,48.00,90.00,30.00,203.00,101.00,40.00,70.00,,,
,,Investments,377.00,366.00,389.00,249.00,108.00,198.00,518.00,788.00,487.00,1079.00,1476.00,2893.00,2003.00,,,
,,Other Assets +,638.00,637.00,713.00,858.00,891.00,954.00,1383.00,1665.00,2432.00,2560.00,2972.00,3019.00,3584.00,,,
,,Total Assets,1492.00,1513.00,1619.00,1842.00,1883.00,2107.00,2793.00,3494.00,4109.00,5188.00,6238.00,7830.00,7467.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,250.00,238.00,296.00,246.00,320.00,671.00,584.00,959.00,441.00,1249.00,1156.00,1485.00,,,,
,,Cash from Investing Activity +,-6.00,-37.00,-118.00,-65.00,28.00,-246.00,-450.00,-705.00,-150.00,-957.00,-852.00,-1526.00,,,,
,,Cash from Financing Activity +,-113.00,-223.00,-166.00,-168.00,-378.00,-357.00,-181.00,-246.00,-295.00,-232.00,-353.00,58.00,,,,
,,Net Cash Flow,132.00,-22.00,13.00,13.00,-30.00,68.00,-47.00,8.00,-4.00,60.00,-49.00,17.00,,,,
,,,,,,,,,,,,,,,,,,
10,CIPLA,,,,,,,,,,,,,,,,,
,pnl,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Sales +,4961.00,5360.00,6324.00,7021.00,8279.00,10173.00,11345.00,13790.00,14394.00,15156.00,16362.00,17132.00,18132.00,,,
,,Expenses +,4212.00,4287.00,4950.00,5326.00,6081.00,8034.00,9184.00,11310.00,11918.00,12407.00,13265.00,13926.00,14514.00,,,
,,Operating Profit,749.00,1073.00,1374.00,1695.00,2198.00,2139.00,2162.00,2480.00,2476.00,2749.00,3097.00,3206.00,3617.00,,,
,,OPM %,0.15,0.20,0.22,0.24,0.27,0.21,0.19,0.18,0.17,0.18,0.19,0.19,0.20,,,
,,Other Income,351.00,448.00,87.00,103.00,262.00,259.00,166.00,208.00,229.00,358.00,477.00,344.00,284.00,,,
,,Interest,52.00,28.00,25.00,38.00,34.00,146.00,168.00,207.00,159.00,114.00,168.00,197.00,184.00,,,
,,Depreciation,152.00,167.00,273.00,312.00,330.00,373.00,505.00,754.00,1323.00,1323.00,1326.00,1175.00,1158.00,,,
,,Profit before tax,896.00,1326.00,1162.00,1448.00,2095.00,1880.00,1654.00,1727.00,1222.00,1669.00,2079.00,2178.00,2559.00,,,
,,Tax %,0.14,0.18,0.17,0.21,0.26,0.25,0.24,0.19,0.15,0.15,0.27,0.29,,,,
,,Net Profit,771.00,1083.00,990.00,1144.00,1545.00,1388.00,1181.00,1360.00,1006.00,1411.00,1528.00,1547.00,1840.00,,,
,,EPS in Rs,9.92,13.48,12.32,14.25,19.24,17.29,14.71,16.93,12.51,17.52,18.96,19.18,22.82,,,
,,Dividend Payout %,0.20,0.15,0.23,0.14,0.10,0.12,0.14,0.12,0.16,0.17,0.16,0.21,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,155.00,161.00,161.00,161.00,161.00,161.00,161.00,161.00,161.00,161.00,161.00,161.00,161.00,,,
,,Reserves,4192.00,5750.00,6506.00,7478.00,8858.00,9890.00,10629.00,11356.00,12383.00,14068.00,14851.00,15602.00,16915.00,,,
,,Borrowings,940.00,5.00,572.00,29.00,967.00,1248.00,1703.00,5202.00,4113.00,4098.00,4316.00,3089.00,3169.00,,,
,,Other Liabilities +,1374.00,1393.00,1359.00,1682.00,1672.00,2102.00,3178.00,4331.00,4213.00,4346.00,4433.00,4571.00,5162.00,,,
,,Total Liabilities,6662.00,7309.00,8597.00,9350.00,11658.00,13400.00,15670.00,21049.00,20869.00,22673.00,23762.00,23423.00,25408.00,,,
,,Fixed Assets +,1992.00,2011.00,3094.00,3215.00,3610.00,6496.00,6830.00,9368.00,9492.00,9950.00,9608.00,9683.00,9743.00,,,
,,CWIP,366.00,684.00,285.00,371.00,378.00,442.00,581.00,2061.00,1683.00,981.00,676.00,825.00,470.00,,,
,,Investments,80.00,246.00,591.00,1269.00,2532.00,709.00,640.00,759.00,973.00,1259.00,2554.00,1471.00,3043.00,,,
,,Other Assets +,4223.00,4367.00,4626.00,4494.00,5138.00,5753.00,7620.00,8862.00,8721.00,10483.00,10923.00,11444.00,12152.00,,,
,,Total Assets,6662.00,7309.00,8597.00,9350.00,11658.00,13400.00,15670.00,21049.00,20869.00,22673.00,23762.00,23423.00,25408.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,375.00,1043.00,1025.00,1713.00,1398.00,1563.00,1173.00,1741.00,2382.00,1463.00,1691.00,3068.00,,,,
,,Cash from Investing Activity +,-580.00,-563.00,-908.00,-965.00,-2063.00,-1265.00,-950.00,-4533.00,-1304.00,-834.00,-1688.00,114.00,,,,
,,Cash from Financing Activity +,179.00,-472.00,-83.00,-753.00,718.00,-266.00,165.00,3104.00,-1326.00,-385.00,-349.00,-2949.00,,,,
,,Net Cash Flow,-26.00,9.00,34.00,-6.00,53.00,33.00,388.00,312.00,-248.00,243.00,-345.00,234.00,,,,
,,,,,,,,,,,,,,,,,,
11,COALINDIA,,,,,,,,,,,,,,,,,
,pnl,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Sales +,40811.00,49153.00,58167.00,72424.00,68303.00,70608.00,74120.00,105083.00,78164.00,85244.00,99586.00,96080.00,90399.00,,,
,,Expenses +,38378.00,38590.00,44739.00,57124.00,50245.00,52953.00,56784.00,86371.00,65720.00,75956.00,74579.00,74160.00,71676.00,,,
,,Operating Profit,2433.00,10563.00,13428.00,15300.00,18058.00,17654.00,17337.00,18713.00,12443.00,9288.00,25007.00,21920.00,18723.00,,,
,,OPM %,0.06,0.21,0.23,0.21,0.26,0.25,0.23,0.18,0.16,0.11,0.25,0.23,0.21,,,
,,Other Income,5153.00,4886.00,4876.00,7998.00,8781.00,7281.00,6576.00,5941.00,5320.00,4975.00,5834.00,6105.00,5197.00,,,
,,Interest,179.00,92.00,76.00,56.00,46.00,59.00,9.00,388.00,410.00,430.00,264.00,503.00,647.00,,,
,,Depreciation,1663.00,1391.00,1765.00,1969.00,1813.00,1996.00,2320.00,2826.00,2907.00,3063.00,3450.00,3451.00,3628.00,,,
,,Profit before tax,5744.00,13965.00,16463.00,21273.00,24979.00,22880.00,21584.00,21440.00,14446.00,10770.00,27127.00,24071.00,19644.00,,,
,,Tax %,0.64,0.31,0.34,0.30,0.31,0.34,0.36,0.33,0.36,0.35,0.36,0.31,,,,
,,Net Profit,2079.00,9622.00,10867.00,14788.00,17356.00,15112.00,13727.00,14267.00,9280.00,7039.00,17463.00,16714.00,13590.00,,,
,,EPS in Rs,3.29,15.23,17.21,23.41,27.48,23.92,21.73,22.59,14.95,11.34,28.34,27.12,22.05,,,
,,Dividend Payout %,0.82,0.23,0.23,0.43,0.51,1.21,0.95,1.21,1.33,1.46,0.46,0.44,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,6316.00,6316.00,6316.00,6316.00,6316.00,6316.00,6316.00,6316.00,6207.00,6207.00,6163.00,6163.00,6163.00,,,
,,Reserves,12849.00,19479.00,26998.00,34137.00,42156.00,36088.00,34037.00,28517.00,18311.00,13971.00,20292.00,25994.00,30921.00,,,
,,Borrowings,2148.00,1963.00,1554.00,1527.00,1305.00,178.00,408.00,1199.00,3014.00,1538.00,2210.00,6434.00,4809.00,,,
,,Other Liabilities +,41379.00,43057.00,50997.00,65006.00,61206.00,62356.00,70505.00,77528.00,91054.00,103754.00,104356.00,111431.00,110517.00,,,
,,Total Liabilities,62693.00,70815.00,85865.00,106986.00,110983.00,104938.00,111267.00,113560.00,118587.00,125471.00,133021.00,150022.00,152409.00,,,
,,Fixed Assets +,11118.00,12155.00,12843.00,13440.00,13466.00,14784.00,16115.00,22082.00,23811.00,27574.00,32618.00,36784.00,38809.00,,,
,,CWIP,1822.00,2091.00,2057.00,2903.00,3496.00,4316.00,5159.00,4553.00,8585.00,10273.00,9658.00,8328.00,9430.00,,,
,,Investments,1505.00,1282.00,1064.00,1981.00,2395.00,3775.00,2813.00,2906.00,1483.00,1704.00,3170.00,1973.00,4623.00,,,
,,Other Assets +,48247.00,55287.00,69900.00,88661.00,91626.00,82063.00,87179.00,84018.00,84708.00,85920.00,87576.00,102937.00,99547.00,,,
,,Total Assets,62693.00,70815.00,85865.00,106986.00,110983.00,104938.00,111267.00,113560.00,118587.00,125471.00,133021.00,150022.00,152409.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,11719.00,10596.00,8704.00,19888.00,9109.00,14525.00,14382.00,13154.00,16461.00,21115.00,16356.00,4147.00,,,,
,,Cash from Investing Activity +,-1662.00,950.00,1040.00,-10410.00,-1833.00,8580.00,894.00,8154.00,455.00,-7747.00,-7896.00,332.00,,,,
,,Cash from Financing Activity +,-1324.00,-2163.00,-3017.00,-7382.00,-7852.00,-25350.00,-15026.00,-19587.00,-17598.00,-13564.00,-10885.00,-6950.00,,,,
,,Net Cash Flow,8734.00,9383.00,6728.00,2095.00,-575.00,-2246.00,250.00,1721.00,-682.00,-196.00,-2426.00,-2471.00,,,,
,,,,,,,,,,,,,,,,,,
12,DIVISLAB,,,,,,,,,,,,,,,,,
,pnl,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Sales +,1180.00,942.00,1317.00,1864.00,2145.00,2532.00,3115.00,3776.00,4064.00,3891.00,4946.00,5394.00,6266.00,,,
,,Expenses +,699.00,536.00,816.00,1173.00,1329.00,1514.00,1942.00,2354.00,2616.00,2623.00,3073.00,3571.00,3886.00,,,
,,Operating Profit,481.00,405.00,501.00,691.00,816.00,1018.00,1173.00,1422.00,1449.00,1269.00,1873.00,1823.00,2380.00,,,
,,OPM %,0.41,0.43,0.38,0.37,0.38,0.40,0.38,0.38,0.36,0.33,0.38,0.34,0.38,,,
,,Other Income,22.00,34.00,27.00,56.00,45.00,68.00,38.00,94.00,73.00,107.00,155.00,190.00,149.00,,,
,,Interest,7.00,3.00,2.00,5.00,3.00,3.00,3.00,5.00,3.00,2.00,5.00,7.00,2.00,,,
,,Depreciation,48.00,51.00,53.00,62.00,77.00,92.00,136.00,118.00,123.00,142.00,169.00,186.00,214.00,,,
,,Profit before tax,448.00,385.00,472.00,681.00,781.00,991.00,1072.00,1393.00,1395.00,1231.00,1855.00,1819.00,2313.00,,,
,,Tax %,0.07,0.12,0.09,0.22,0.23,0.22,0.21,0.19,0.24,0.29,0.27,0.24,,,,
,,Net Profit,417.00,340.00,429.00,533.00,602.00,773.00,852.00,1126.00,1060.00,877.00,1353.00,1377.00,1759.00,,,
,,EPS in Rs,16.09,12.88,16.19,20.09,22.67,29.13,32.07,42.41,39.95,33.04,50.96,51.85,66.26,,,
,,Dividend Payout %,0.09,0.23,0.31,0.32,0.33,0.34,0.31,0.24,0.25,0.30,0.31,0.31,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,13.00,26.00,27.00,27.00,27.00,27.00,27.00,53.00,53.00,53.00,53.00,53.00,53.00,,,
,,Reserves,1228.00,1491.00,1771.00,2105.00,2474.00,2937.00,3469.00,4240.00,5304.00,5872.00,6904.00,7257.00,8270.00,,,
,,Borrowings,53.00,33.00,23.00,55.00,33.00,18.00,27.00,42.00,36.00,63.00,106.00,39.00,5.00,,,
,,Other Liabilities +,254.00,308.00,454.00,570.00,605.00,729.00,883.00,562.00,762.00,797.00,973.00,1183.00,1196.00,,,
,,Total Liabilities,1548.00,1859.00,2275.00,2757.00,3139.00,3710.00,4405.00,4898.00,6155.00,6785.00,8036.00,8531.00,9524.00,,,
,,Fixed Assets +,590.00,590.00,590.00,738.00,909.00,1222.00,1309.00,1439.00,1559.00,1996.00,2088.00,2782.00,3495.00,,,
,,CWIP,20.00,24.00,104.00,182.00,303.00,144.00,218.00,264.00,444.00,120.00,492.00,920.00,499.00,,,
,,Investments,172.00,441.00,526.00,477.00,408.00,502.00,733.00,803.00,1631.00,1889.00,1946.00,971.00,0.00,,,
,,Other Assets +,767.00,804.00,1055.00,1359.00,1519.00,1842.00,2145.00,2392.00,2521.00,2780.00,3511.00,3858.00,5530.00,,,
,,Total Assets,1548.00,1859.00,2275.00,2757.00,3139.00,3710.00,4405.00,4898.00,6155.00,6785.00,8036.00,8531.00,9524.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,301.00,369.00,327.00,338.00,480.00,557.00,826.00,1038.00,1150.00,776.00,954.00,1216.00,,,,
,,Cash from Investing Activity +,-217.00,-317.00,-221.00,-204.00,-255.00,-305.00,-521.00,-406.00,-1140.00,-478.00,-685.00,-83.00,,,,
,,Cash from Financing Activity +,-82.00,-48.00,-104.00,-131.00,-231.00,-248.00,-303.00,-631.00,2.00,-314.00,-246.00,-1091.00,,,,
,,Net Cash Flow,1.00,5.00,1.00,3.00,-5.00,3.00,3.00,0.00,13.00,-17.00,23.00,41.00,,,,
,,,,,,,,,,,,,,,,,,
13,DRREDDY,,,,,,,,,,,,,,,,,
,pnl,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Sales +,6862.00,7031.00,7435.00,9814.00,11833.00,13415.00,15023.00,15568.00,14196.00,14281.00,15448.00,17517.00,18183.00,,,
,,Expenses +,5559.00,5602.00,5874.00,7390.00,9167.00,10164.00,11530.00,11983.00,11724.00,11930.00,12270.00,15040.00,15246.00,,,
,,Operating Profit,1303.00,1429.00,1561.00,2425.00,2665.00,3251.00,3494.00,3585.00,2472.00,2351.00,3178.00,2477.00,2938.00,,,
,,OPM %,0.19,0.20,0.21,0.25,0.23,0.24,0.23,0.23,0.17,0.16,0.21,0.14,0.16,,,
,,Other Income,-1353.00,-359.00,52.00,12.00,150.00,170.00,274.00,295.00,172.00,155.00,381.00,670.00,322.00,,,
,,Interest,108.00,38.00,32.00,114.00,100.00,127.00,108.00,83.00,63.00,79.00,89.00,98.00,87.00,,,
,,Depreciation,498.00,413.00,398.00,518.00,550.00,648.00,760.00,939.00,1027.00,1077.00,1135.00,1163.00,1170.00,,,
,,Profit before tax,-656.00,618.00,1183.00,1804.00,2165.00,2646.00,2900.00,2859.00,1554.00,1350.00,2336.00,1886.00,2004.00,,,
,,Tax %,-0.40,0.43,0.16,0.28,0.29,0.26,0.19,0.26,0.19,0.32,0.17,-0.07,,,,
,,Net Profit,-917.00,352.00,999.00,1301.00,1527.00,1963.00,2336.00,2131.00,1292.00,947.00,1950.00,2026.00,1609.00,,,
,,EPS in Rs,-54.46,20.82,59.02,76.72,89.90,115.41,137.13,124.88,77.96,57.07,117.42,121.92,96.80,,,
,,Dividend Payout %,-0.11,0.54,0.19,0.18,0.17,0.16,0.15,0.16,0.26,0.35,0.17,0.21,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,84.00,84.00,85.00,85.00,85.00,85.00,85.00,85.00,83.00,83.00,83.00,83.00,83.00,,,
,,Reserves,3442.00,3692.00,3947.00,4904.00,6284.00,7780.00,9768.00,12484.00,12179.00,12489.00,13994.00,15616.00,16584.00,,,
,,Borrowings,1998.00,1484.00,2371.00,3234.00,3682.00,4477.00,4314.00,3352.00,4918.00,5071.00,3838.00,2210.00,2661.00,,,
,,Other Liabilities +,1765.00,2032.00,2461.00,3082.00,3329.00,3563.00,4290.00,4408.00,4474.00,4706.00,4503.00,5314.00,6051.00,,,
,,Total Liabilities,7289.00,7293.00,8863.00,11305.00,13380.00,15906.00,18457.00,20330.00,21654.00,22349.00,22418.00,23223.00,25380.00,,,
,,Fixed Assets +,2927.00,2352.00,3386.00,3412.00,4051.00,4641.00,5377.00,6563.00,6931.00,6968.00,7191.00,6850.00,9344.00,,,
,,CWIP,430.00,762.00,575.00,708.00,565.00,639.00,529.00,772.00,3324.00,3470.00,2934.00,1535.00,731.00,,,
,,Investments,52.00,358.00,1.00,208.00,197.00,1067.00,2248.00,3833.00,2110.00,2298.00,2587.00,2678.00,2515.00,,,
,,Other Assets +,3880.00,3820.00,4902.00,6977.00,8567.00,9559.00,10303.00,9162.00,9290.00,9612.00,9707.00,12160.00,12790.00,,,
,,Total Assets,7289.00,7293.00,8863.00,11305.00,13380.00,15906.00,18457.00,20330.00,21654.00,22349.00,22418.00,23223.00,25380.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,588.00,1315.00,755.00,1613.00,1378.00,1970.00,2524.00,3263.00,2144.00,1803.00,2870.00,2984.00,,,,
,,Cash from Investing Activity +,-505.00,-686.00,-885.00,-971.00,-1437.00,-1604.00,-2370.00,-1610.00,-1890.00,-1483.00,-769.00,-495.00,,,,
,,Cash from Financing Activity +,-265.00,-532.00,44.00,389.00,-157.00,-24.00,-433.00,-1700.00,-369.00,-444.00,-2133.00,-2516.00,,,,
,,Net Cash Flow,-182.00,98.00,-85.00,1031.00,-216.00,342.00,-280.00,-47.00,-114.00,-124.00,-31.00,-27.00,,,,
,,,,,,,,,,,,,,,,,,
14,EICHERMOT,,,,,,,,,,,,,,,,,
,pnl,,39783.00,40148.00,40513.00,40878.00,41244.00,41609.00,41974.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
